image_url,bytes,pages,occurrences,classes,example_page
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a876afdaf2e45880351be10_webflow%252Fthumb-images%252F2026%252F08%252Fericka-jane-syd-for-solen-2026-anmeldelse-thumb-2400w-1grdaa.webp,1631816,236,242,desktop_thumb;home__podcast-item__img;post_small__thumb festival;paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c180/67ed19b047d73997242e9f86_05AproposMagazine_Random.webp,538438,445,826,subrcribe-image;audio-player__artwork,https://www.aproposmagazine.com/
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a876416a92d187e3ebe852c_webflow%252Fthumb-images%252F2026%252F08%252Ftorsdag-syd-for-solen-2026-thumb-2400w-1fblot.webp,896780,236,242,desktop_thumb;paralax-image-2;hero__bg-img;desktop_thumbnails,https://www.aproposmagazine.com/
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a8764267c6051adeb1e36e8_webflow%252Fthumb-images%252F2026%252F08%252Fsombr-syd-for-solen-2026-anmeldelse-thumb-2400w-1kndo6.webp,593848,236,242,paralax-image;desktop_thumb;post_small__thumb festival;paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a68af2fa19e4e7c4a1d50db_webflow%252Fthumb-images%252F2026%252F07%252Fspider-man-a-brand-new-day-anmeldelse-thumb-2400w-svakbg.webp,517894,93,95,post_medium__thumb;desktop_thumb;paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a86db750c1b155bc109b113_webflow%252Fthumb-images%252F2026%252F08%252Fkurt-vile-the-violators-i-vega-slackerens-storhedstid-thumb-2400w-tfz1hj.webp,533872,80,84,post_small__thumb festival;desktop_thumb;paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a4520d0417c61ccb614f50c_webflow%252Fthumb-images%252F2026%252F07%252Fturboweekend-tinderbox-2026-thumb-2400w-19nwvj.webp,2943352,14,14,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/turboweekend-tinderbox-2026
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a835cf5cce3e4fff3e6d2cc_webflow%252Fthumb-images%252F2026%252F08%252Flordag-pa-syd-for-solen-2026-fem-oplevelser-i-stovet-thumb-2400w-msa2tu.webp,1961042,16,16,desktop_thumbnails;paralax-image-2,https://www.aproposmagazine.com/
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a734b53bd5e1f0b1989504f_webflow%252Fthumb-images%252F2026%252F08%252Fmusik-i-gentofte-2026-sol-sang-og-et-par-streger-i-regningen-thumb-2400w-uwgibm.webp,2597054,12,12,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/musik-i-gentofte-2026-sol-sang-og-et-par-streger-i-regningen
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a4522ad417c61ccb6164c7c_webflow%252Fthumb-images%252F2026%252F07%252Fwhite-lies-tinderbox-2026-thumb-2400w-194jxn.webp,2214460,14,15,paralax-image-2;hero__bg-img;desktop_thumbnails,https://www.aproposmagazine.com/articles/white-lies-tinderbox-2026
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a451c342bca1eff803ab854_webflow%252Fthumb-images%252F2026%252F07%252Fjess-glynne-tinderbox-thumb-2400w-l1h1io.webp,1954562,14,14,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/jess-glynne-tinderbox
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a43d98bd04af008c201f781_webflow%252Fthumb-images%252F2026%252F06%252Fscooter-festegnen-2026-thumb-2400w-2l67he.webp,1537098,16,16,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/scooter-festegnen-2026
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a761d2c3b4dc6c9facaa6c3_webflow%252Fthumb-images%252F2026%252F08%252Fdisclosure-o-days-2026-anmeldelse-thumb-2400w-1a2f9k.webp,1306796,14,14,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/disclosure-o-days-2026-anmeldelse
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a43c211778df3e59b8e8a97_webflow%252Fthumb-images%252F2026%252F06%252Ffestegnen-rodovre-thumb-2400w-10zlci.webp,1198318,14,14,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/festegnen-rodovre
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a876a37dc35b22574a8aa54_webflow%252Fthumb-images%252F2026%252F08%252Fp3-dragbingo-syd-for-solen-2026-thumb-2400w-1vpryr.webp,1161008,14,14,paralax-image-2;desktop_thumbnails;desktop_thumb,https://www.aproposmagazine.com/articles/p3-dragbingo-syd-for-solen-2026
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a70a44f0284188ec5482626_webflow%252Fthumb-images%252F2026%252F08%252Ftripolism-o-days-2026-anmeldelse-thumb-2400w-lqqvo1.webp,1096786,14,14,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/tripolism-o-days-2026-anmeldelse
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a43dade0e4f875ad7012565_webflow%252Fthumb-images%252F2026%252F06%252Fjohn-martin-festegnen-thumb-2400w-y9g8rj.webp,836062,14,16,paralax-image-2;hero__bg-img;desktop_thumbnails,https://www.aproposmagazine.com/articles/john-martin-festegnen
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a29664a450a7b18e2684136_webflow%252Fthumb-images%252F2026%252F06%252Fjustice-o-days-festival-total-forlosning-i-mudder-og-bassdrops-thumb-2400w-q3ngbd.webp,1111950,10,10,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/justice-o-days-festival-total-forlosning-i-mudder-og-bassdrops
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a2965c56ffddda211055191_webflow%252Fthumb-images%252F2026%252F06%252Fonerepublic-royal-arena-thumb-2400w-7i7q7w.webp,1288026,8,8,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/onerepublic-royal-arena
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a29660914a0a459fd74b696_webflow%252Fthumb-images%252F2026%252F06%252Fgo-jo-youtube-kaos-og-charme-pa-lille-vega-thumb-2400w-7oeq50.webp,1193994,8,8,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/go-jo-youtube-kaos-og-charme-pa-lille-vega
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a784b0c211492086dbf5fd0_webflow%252Fthumb-images%252F2026%252F08%252Fnia-archives-o-days-2026-anmeldelse-thumb-2400w-111qia.webp,559692,16,18,desktop_thumbnails;paralax-image-2;hero__bg-img,https://www.aproposmagazine.com/
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a3a7beecebe300cc6d21fc7_webflow%252Fthumb-images%252F2026%252F06%252Fthe-minds-of-99-pa-heartland-2026-thumb-2400w-1ak40h.webp,610558,14,14,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/the-minds-of-99-pa-heartland-2026
